LSRNumber,LSRTitle,BillNumber,BillAnalysis,BillURL,PrimeSponsor,Sponsors,pubDate
21-0611,changing the requirement that a member of the sponsoring charitable organization be present during certain games of chance.,HB 55,This bill specifies how delegates to state party conventions are to be elected in accordance with the latest federal decennial census.,http://gencourt.state.nh.us/bill_Status/billText.aspx?sy=2021&id=611&txtFormat=html,Tom Sherman,"Lou D'Allesandro, Peter Leishman, Harold French",12/1/2020
21-0612,allowing hobby distillation of liquors.,HB 281-FN,This bill removes the consideration of weighted apportionment factors under the business profits tax from inclusion in the tax expenditure report and includes the regional career and technical education center tax credit.  The bill also delays the enactment of the single sales factor for determining apportionment under the business profits tax and the business enterprise tax and extends and amends the legislative committee on apportionment.,http://gencourt.state.nh.us/bill_Status/billText.aspx?sy=2021&id=612&txtFormat=html,Scott Wallace,"Ralph Boehm, Al Baldasaro, Keith Ammon, Gregory Hill, Timothy Lang, Howard Pearl, Bob Giuda",12/8/2020
21-0613,relative to evacuations under a state of emergency.,HB 504-FN-LOCAL,"This bill requires the department of revenue administration to receive the revenues from the state education property tax and deposit them in the education trust fund, and revises the procedures for calculating state education grants.  The bill modifies the criteria for relief under the low and moderate income homeowners property tax relief program, and establishes a committee to study the low and moderate income homeowners property tax relief program.",http://gencourt.state.nh.us/bill_Status/billText.aspx?sy=2021&id=613&txtFormat=html,Tony Lekas,,1/4/2021
21-0614,"establishing the office of the right-to-know ombudsman and making an appropriation therefor.
",HB 471,This bill requires police disciplinary hearings to be open to the public unless certain confidential information may be revealed.,http://gencourt.state.nh.us/bill_Status/billText.aspx?sy=2021&id=614&txtFormat=html,Charlotte DiLorenzo,"Kenneth Weyler, Robert Renny Cushing, Marjorie Smith, Gary Hopper, Jordan Ulery, Bob Giuda, Diane Langley, Cindy Rosenwald, Gail Sanborn",12/17/2020
21-0616,relative to the expectation of privacy.,,,,Keith  Erf,"Gary Hopper, Jess Edwards, Ruth Ward",12/18/2020
21-0617,establishing consumer protections regarding Internet service provider outages and download speeds.,CACR 8,,http://gencourt.state.nh.us/bill_Status/billText.aspx?sy=2021&id=617&txtFormat=html,Terry Roy,,12/30/2020
21-0619,relative to the powers of the governor during a renewal of a declared state of emergency.,HB 495,This bill provides that the court shall not issue an order in a parenting case that infringes on a party's constitutional rights unless the court determines there is no less restrictive means to achieve a compelling government interest.,http://gencourt.state.nh.us/bill_Status/billText.aspx?sy=2021&id=619&txtFormat=html,Terry Roy,"Suzanne Vail, Lino Avellani, Leah Cushman, Erica Layon, Cody Belanger",12/18/2020
21-0620,relative to municipal taxes.  Providing that municipalities may not raise property taxes greater than 2 percent per year and no greater than 1 percent per year on disabled citizens or senior citizens.,HB 474,This bill prohibits the use of surveillance to determine the location of a motor vehicle or the identity or location of a pedestrian.,http://gencourt.state.nh.us/bill_Status/billText.aspx?sy=2021&id=620&txtFormat=html,Terry Roy,"John Potucek, Barbara Comtois, Judy Aron",12/9/2020
21-0621,prohibiting surveillance by the state on public ways or sidewalks.,CACR 9,,http://gencourt.state.nh.us/bill_Status/billText.aspx?sy=2021&id=621&txtFormat=html,Keith  Erf,Mark Warden,12/30/2020
21-0622,relative to restraining orders issued in a parenting case. ,HB 417,This bill terminates a state of emergency called by the governor after 30 days and modifies the procedure for renewal.  Any orders issued during the period of a renewal of the state of emergency shall be subject to prior approval by the house of representatives.,http://gencourt.state.nh.us/bill_Status/billText.aspx?sy=2021&id=622&txtFormat=html,Debra DeSimone,"Al Baldasaro, Regina Birdsell",12/30/2020
21-0623,relative to temporary relief and permanent restraining orders issued in a divorce proceeding.,,,,Debra DeSimone,"Al Baldasaro, Regina Birdsell, Robert Harb",1/5/2021
21-0624,"relating to firearms.  Providing that the legislature make no law restricting  the right to own, carry, or use firearms or firearm accessories.",HB 477,This bill establishes consumer protection provisions for customers of Internet service providers for service outages and less than advertised download speeds.,http://gencourt.state.nh.us/bill_Status/billText.aspx?sy=2021&id=624&txtFormat=html,Terry Roy,,12/30/2020
21-0626,requiring law enforcement officers to inform a person of their right to refuse a consensual search.,,,,Terry Roy,"Lino Avellani, Max Abramson, John Potucek, David Binford, Sallie Fellows, Nicole Klein-Knight, Andrew Bouldin, Bill King, Melbourne Moran",12/17/2020
21-0627,relative to police disciplinary hearings.,HB 481-FN-A,This bill establishes procedures to streamline the resolution of complaints under RSA 91-A.  This bill establishes the office of the right-to-know ombudsman.  This bill also establishes an alternative process to resolve right-to-know complaints.,http://gencourt.state.nh.us/bill_Status/billText.aspx?sy=2021&id=627&txtFormat=html,Terry Roy,"John Reagan, Peter Bixby, John Bordenet, John Potucek, James Spillane, David Welch, Mark King, Sherry Frost, Deb Stevens, Melbourne Moran",12/29/2020
21-0628,"relative to the state education property tax and the low and moderate income homeowners property tax relief program.
",HB 414,"This bill provides that the governor may recommend, but not compel, evacuation under the emergency management powers of RSA 4:45.  The bill also provides that emergency services shall not be required for those who choose not to evacuate.",http://gencourt.state.nh.us/bill_Status/billText.aspx?sy=2021&id=628&txtFormat=html,Richard Ames,"Marjorie Porter, Mary Heath, David Luneau",1/4/2021
21-0629,"relative to the tax expenditure report and relative to delaying the enactment of the single sales factor under the business profits and business enterprise taxes.
",HB 416,This bill allows the hobby distillation of liquors.,http://gencourt.state.nh.us/bill_Status/billText.aspx?sy=2021&id=629&txtFormat=html,Patrick Abrami,Richard Ames,12/30/2020
21-0630,apportioning delegates to state party conventions.,SB 23,This bill requires a member of the sponsoring charitable organization to be present during games of chance at least once during the contract period.,http://gencourt.state.nh.us/bill_Status/billText.aspx?sy=2021&id=630&txtFormat=html,Barbara Griffin,,12/30/2020
21-0631,apportioning state representative districts.,,,,Barbara Griffin,,12/30/2020
21-0632,apportioning county commissioner districts.,,,,Barbara Griffin,,12/30/2020
21-0633,relative to retroactive denials of previously paid claims.,HB 478,This bill requires Saint Gobain Performance Plastics to pay for the remediation of water in certain wells in Merrimack that it contaminated.,http://gencourt.state.nh.us/bill_Status/billText.aspx?sy=2021&id=633&txtFormat=html,Constance Van Houten,"John Reagan, Patrick Abrami, David Luneau, Rebecca McBeath, Donna Ellis",12/10/2020
21-0634,apportioning state senate districts.,SB 14,This bill allows the liquor commission to register trade names with the secretary of state to operate as a direct shipper of liquor and wine.,http://gencourt.state.nh.us/bill_Status/billText.aspx?sy=2021&id=634&txtFormat=html,Barbara Griffin,,12/30/2020
21-0635,apportioning executive council districts.,HB 415,This bill requires governing bodies to publish statements of estimated expenditures and revenues for the next fiscal year in full line item detail.,http://gencourt.state.nh.us/bill_Status/billText.aspx?sy=2021&id=635&txtFormat=html,Barbara Griffin,,12/30/2020
21-0636,apportioning congressional districts.,HB 413,This bill establishes a solid waste working group on solid waste management planning.,http://gencourt.state.nh.us/bill_Status/billText.aspx?sy=2021&id=636&txtFormat=html,Barbara Griffin,,12/18/2020
21-0637,relative to the responsibilities of an elected animal control officer.,HB 447,This bill requires a lessor of scuba equipment to also lease underwater GPS equipment.,http://gencourt.state.nh.us/bill_Status/billText.aspx?sy=2021&id=637&txtFormat=html,Scott Wallace,Bill Gannon,12/30/2020
21-0638,relative to the suspension of drivers' licenses and creating a committee to study the creation of a restricted driving license for participants in drug court.,2021 SESSION,This bill raises the minimum amount required for motor vehicle liability insurance.,http://gencourt.state.nh.us/bill_Status/billText.aspx?sy=2021&id=638&txtFormat=html,George Sykes,Nicole Klein-Knight,12/8/2020
21-0639,relative to the designation of office on ballots.,HB 527,This bill adds an additional definition for qualified charitable gift annuity issued by a charitable organization.,http://gencourt.state.nh.us/bill_Status/billText.aspx?sy=2021&id=639&txtFormat=html,Gerald Griffin,,12/29/2020
21-0640,"relative to the attendance of certain public officials at meetings.
",HB 462,This bill establishes a procedure for the enforcement of a lien assessment on a condominium unit owner by the unit owners' association.,http://gencourt.state.nh.us/bill_Status/billText.aspx?sy=2021&id=640&txtFormat=html,Jeanine Notter,James Spillane,1/5/2021
21-0641,relative to the Pease development authority board of directors.,HB 460,This bill establishes a committee to study cases involving the determination of parental rights and responsibilities.,http://gencourt.state.nh.us/bill_Status/billText.aspx?sy=2021&id=641&txtFormat=html,Tom Sherman,"Dennis Malloy, James Gray, Joan Hamblet",12/30/2020
21-0642,prohibiting the use of public funds for abortions.,HB 503,This bill establishes the New Hampshire commission on homelessness.,http://gencourt.state.nh.us/bill_Status/billText.aspx?sy=2021&id=642&txtFormat=html,Vanessa Sheehan,"Debra DeSimone, Linda Gould, Kimberly Rice, Gary Daniels, Maureen Mooney, Ruth Ward, Mark Pearson, Denise Ricciardi, Matthew Simon, Bill King, Diane Pauer, Jim Creighton",12/15/2020
21-0643,relative to cybersecurity incident reporting and recommended cybersecurity standards for political subdivisions.,HB 440,"This bill provides that the state shall not substantially burden a person’s right to the free exercise of religion unless doing so is essential to further a compelling governmental interest and is the least restrictive means of furthering that compelling governmental interest.  The bill also provides that during a state of emergency, religious organizations shall be permitted to operate under the same restrictions, if any, as providers of essential services.",http://gencourt.state.nh.us/bill_Status/billText.aspx?sy=2021&id=643&txtFormat=html,Cindy Rosenwald,"Sharon Carson, Peter Leishman, Karen Ebel",12/30/2020
21-0645,shielding journalists from mandatory disclosure of sources by subpoena.,HB 528-FN,This bill requires a tax return preparer for more than 25 different taxpayers to electronically file state tax returns.,http://gencourt.state.nh.us/bill_Status/billText.aspx?sy=2021&id=645&txtFormat=html,Ellen Read,,12/17/2020
21-0646,relative to review of planning board decisions.,HB 456,"This bill grants the department of corrections authority to access a limited data set of vital records data on deaths, marriages, and divorces held by the division of vital records administration.",http://gencourt.state.nh.us/bill_Status/billText.aspx?sy=2021&id=646&txtFormat=html,Benjamin Baroody,,12/30/2020
